available cuda: 2
Loaded pretrained weights for efficientnet-b0
training started: Jun10_10-40-26
epoch:00, train:0.941, valid:0.609, threshold: [0.55405738 1.88326897 2.50724604 3.22401151 4.14519174], score:0.668, best:0.668, date:Jun10_10-46-26
epoch:01, train:0.632, valid:0.596, threshold: [0.87827788 1.25126628 1.55323411 1.93441297 4.23920813], score:0.757, best:0.757, date:Jun10_10-52-16
epoch:02, train:0.596, valid:0.488, threshold: [0.90426094 1.2259738  1.51081976 1.99582058 3.07254969], score:0.758, best:0.758, date:Jun10_10-58-04
epoch:03, train:0.583, valid:0.359, threshold: [0.50995825 1.6779218  2.62449996 3.13725493 3.91154094], score:0.804, best:0.804, date:Jun10_11-03-54
epoch:04, train:0.558, valid:0.462, threshold: [0.70400641 1.51615843 1.98569969 2.48884096 4.55743543], score:0.755, best:0.804, date:Jun10_11-09-42
epoch:05, train:0.553, valid:0.383, threshold: [0.57939788 1.40440704 1.70785043 2.71838896 4.88015955], score:0.798, best:0.804, date:Jun10_11-15-31
epoch:06, train:0.525, valid:0.359, threshold: [0.68761842 1.58411575 1.90405014 2.70615283 3.68130581], score:0.816, best:0.816, date:Jun10_11-21-21
epoch:07, train:0.536, valid:0.499, threshold: [0.66637371 1.17069666 1.58789919 2.2287729  4.51564349], score:0.779, best:0.816, date:Jun10_11-27-09
epoch:08, train:0.518, valid:0.652, threshold: [0.39682774 1.49659406 1.70706795 1.92218702 5.85385188], score:0.681, best:0.816, date:Jun10_11-33-02
epoch:09, train:0.513, valid:0.415, threshold: [0.76573568 1.62059589 2.15839102 2.93227871 3.73746737], score:0.796, best:0.816, date:Jun10_11-38-55
epoch:10, train:0.492, valid:0.376, threshold: [0.67092066 1.47018057 2.0648114  2.62141092 3.45750712], score:0.823, best:0.823, date:Jun10_11-44-47
epoch:11, train:0.474, valid:0.330, threshold: [0.63745649 1.25192675 2.09264863 2.87305009 3.52677448], score:0.830, best:0.830, date:Jun10_11-50-39
epoch:12, train:0.476, valid:0.374, threshold: [0.67583849 1.52598824 1.95335222 2.59804473 4.84683423], score:0.807, best:0.830, date:Jun10_11-56-29
epoch:13, train:0.465, valid:0.385, threshold: [0.6572728  1.15449376 1.66056339 2.50301946 4.68689512], score:0.814, best:0.830, date:Jun10_12-02-21
epoch:14, train:0.449, valid:0.329, threshold: [0.51631209 1.55702246 2.54639352 2.84454205 4.71808536], score:0.813, best:0.830, date:Jun10_12-08-13
epoch:15, train:0.457, valid:0.370, threshold: [0.67026316 1.66535717 2.01085003 2.69519622 3.46091759], score:0.832, best:0.832, date:Jun10_12-14-04
epoch:16, train:0.458, valid:0.386, threshold: [0.65585467 1.22556682 1.74276941 2.2934048  5.66332625], score:0.820, best:0.832, date:Jun10_12-19-53
epoch:17, train:0.453, valid:0.336, threshold: [0.58254061 1.55404003 2.46610195 2.80597825 4.60892133], score:0.820, best:0.832, date:Jun10_12-25-46
epoch:18, train:0.457, valid:0.393, threshold: [0.73433384 1.48698467 1.96808055 2.47578621 3.0446718 ], score:0.836, best:0.836, date:Jun10_12-31-39
epoch:19, train:0.436, valid:0.326, threshold: [0.59758021 1.67266614 2.30121099 2.91784689 3.66977196], score:0.838, best:0.838, date:Jun10_12-37-30
epoch:20, train:0.423, valid:0.337, threshold: [0.60984207 1.70501344 2.00525686 2.56717956 4.47280639], score:0.834, best:0.838, date:Jun10_12-43-21
epoch:21, train:0.430, valid:0.358, threshold: [0.60932302 1.30539122 1.69339489 2.78692268 3.61182711], score:0.839, best:0.839, date:Jun10_12-49-10
epoch:22, train:0.417, valid:0.380, threshold: [0.65383668 1.55868907 1.9136748  2.36123593 5.0645307 ], score:0.831, best:0.839, date:Jun10_12-54-59
epoch:23, train:0.416, valid:0.366, threshold: [0.65121906 1.33179952 1.88553911 2.69223775 4.76512538], score:0.834, best:0.839, date:Jun10_13-00-50
epoch:24, train:0.417, valid:0.345, threshold: [0.6199942  1.40602805 1.95852512 2.77431703 4.58307785], score:0.836, best:0.839, date:Jun10_13-06-40
epoch:25, train:0.402, valid:0.356, threshold: [0.70260748 1.43321393 1.99567432 2.67968965 3.55030968], score:0.851, best:0.851, date:Jun10_13-12-30
