available cuda: 2
training started: Jun09_20-43-32
epoch:00, train:0.953, valid:0.523, threshold: [0.70609537 1.1448542  1.6953636  2.09044222 5.52539464], score:0.752, best:0.752, date:Jun09_20-55-18
epoch:01, train:0.676, valid:1.140, threshold: [0.64208927 1.7373331  1.97923322 2.22001784 4.93466856], score:0.173, best:0.752, date:Jun09_21-06-55
epoch:02, train:0.661, valid:0.717, threshold: [0.58875353 1.72589934 2.15113896 2.88839732 4.72790583], score:0.761, best:0.761, date:Jun09_21-18-31
epoch:03, train:0.623, valid:0.482, threshold: [0.70038973 1.45058115 2.02975629 2.48485029 3.58884913], score:0.758, best:0.761, date:Jun09_21-30-06
epoch:04, train:0.612, valid:0.583, threshold: [0.60115724 1.33088393 1.53519381 2.55240094 5.66093032], score:0.797, best:0.797, date:Jun09_21-41-43
epoch:05, train:0.600, valid:0.483, threshold: [0.77414628 1.34125973 1.78444672 2.55560299 3.13328893], score:0.778, best:0.797, date:Jun09_21-53-20
epoch:06, train:0.613, valid:0.458, threshold: [0.82924981 1.32437408 1.5584827  2.22957023 3.2406496 ], score:0.794, best:0.797, date:Jun09_22-04-54
epoch:07, train:0.593, valid:0.525, threshold: [0.70329149 1.18258619 2.18440341 2.49054785 5.21884799], score:0.789, best:0.797, date:Jun09_22-16-30
epoch:08, train:0.581, valid:0.393, threshold: [0.64936663 1.47288926 1.80414204 2.81820285 4.10669543], score:0.821, best:0.821, date:Jun09_22-28-03
epoch:09, train:0.567, valid:0.390, threshold: [0.63285593 1.61642545 2.19534577 2.57217644 4.11611272], score:0.810, best:0.821, date:Jun09_22-39-39
epoch:10, train:0.549, valid:0.494, threshold: [0.54934267 1.43160573 2.07535164 3.23936287 4.7555146 ], score:0.820, best:0.821, date:Jun09_22-51-13
epoch:11, train:0.534, valid:0.427, threshold: [0.5116121  1.17202161 1.64670027 2.18671519 5.03168661], score:0.827, best:0.827, date:Jun09_23-02-48
epoch:12, train:0.530, valid:0.339, threshold: [0.54866614 1.63052898 2.38513031 2.91024201 4.40932311], score:0.832, best:0.832, date:Jun09_23-14-22
epoch:13, train:0.515, valid:0.404, threshold: [0.67393864 1.52293654 1.64828902 2.35947094 5.40218448], score:0.811, best:0.832, date:Jun09_23-25-58
epoch:14, train:0.514, valid:0.417, threshold: [0.62135242 1.5358228  2.05675714 2.4508299  4.97240959], score:0.818, best:0.832, date:Jun09_23-37-37
epoch:15, train:0.513, valid:0.316, threshold: [0.64724399 1.39147613 2.05935605 2.7310607  4.16607383], score:0.839, best:0.839, date:Jun09_23-49-15
epoch:16, train:0.517, valid:0.368, threshold: [0.6816208  1.51730696 1.99309068 2.61968084 3.46061885], score:0.832, best:0.839, date:Jun10_00-00-51
epoch:17, train:0.494, valid:0.369, threshold: [0.75712268 1.53620787 2.00832398 2.62104618 3.14052529], score:0.836, best:0.839, date:Jun10_00-12-31
