available cuda: 2
training started: Jun09_20-43-33
epoch:00, train:0.951, valid:0.580, threshold: [0.70472766 1.38989464 1.59441454 2.07558865 4.05852383], score:0.690, best:0.690, date:Jun09_20-55-17
epoch:01, train:0.751, valid:0.831, threshold: [0.6026655  1.77673161 2.44844757 3.30884688 5.00492465], score:0.734, best:0.734, date:Jun09_21-06-49
epoch:02, train:0.684, valid:0.486, threshold: [0.68893531 1.43036007 2.06254667 2.38109537 4.28323165], score:0.749, best:0.749, date:Jun09_21-18-24
epoch:03, train:0.653, valid:0.564, threshold: [0.84547663 1.40591112 1.68721984 2.37312954 2.99595796], score:0.722, best:0.749, date:Jun09_21-29-57
epoch:04, train:0.644, valid:0.689, threshold: [0.79206928 1.71846171 1.91123514 2.43962137 3.99514116], score:0.609, best:0.749, date:Jun09_21-41-33
epoch:05, train:0.632, valid:0.486, threshold: [0.73168629 1.29358763 1.81669839 2.19635758 4.83471399], score:0.758, best:0.758, date:Jun09_21-53-05
epoch:06, train:0.608, valid:0.735, threshold: [0.69069792 1.51769766 1.84825815 2.47716486 4.01040949], score:0.742, best:0.758, date:Jun09_22-04-38
epoch:07, train:0.608, valid:0.606, threshold: [0.64913786 1.65893559 1.91277904 2.3404332  4.73213285], score:0.727, best:0.758, date:Jun09_22-16-12
epoch:08, train:0.602, valid:0.677, threshold: [0.8346437  1.58821239 2.12665122 2.7131969  3.20744573], score:0.683, best:0.758, date:Jun09_22-27-44
epoch:09, train:0.610, valid:0.896, threshold: [0.72204428 1.41736208 1.92549795 2.98993297 4.75916807], score:0.745, best:0.758, date:Jun09_22-39-17
epoch:10, train:0.575, valid:1.939, threshold: [1.00144319 1.65169317 2.00783432 2.5977101  3.22185306], score:0.740, best:0.758, date:Jun09_22-50-48
epoch:11, train:0.548, valid:3.061, threshold: [0.72571539 1.48079588 1.71320608 2.85461404 3.49824479], score:0.729, best:0.758, date:Jun09_23-02-19
epoch:12, train:0.549, valid:0.408, threshold: [0.63225724 1.49168059 2.27892924 2.89865245 3.65999491], score:0.813, best:0.813, date:Jun09_23-13-51
epoch:13, train:0.542, valid:0.704, threshold: [0.78417124 1.53409407 2.12685551 2.27292422 3.10934727], score:0.766, best:0.813, date:Jun09_23-25-21
epoch:14, train:0.550, valid:0.387, threshold: [0.56750117 1.71296991 2.43814982 3.00871677 3.88310683], score:0.812, best:0.813, date:Jun09_23-36-50
epoch:15, train:0.564, valid:0.415, threshold: [0.66217389 1.5363048  2.31861395 2.88857774 3.46204557], score:0.782, best:0.813, date:Jun09_23-48-22
epoch:16, train:0.547, valid:0.388, threshold: [0.71024017 1.263193   1.88483663 2.71869424 3.74244728], score:0.811, best:0.813, date:Jun09_23-59-52
epoch:17, train:0.554, valid:0.553, threshold: [0.85166131 1.59134443 1.82929495 2.35183634 2.68590716], score:0.729, best:0.813, date:Jun10_00-11-25
