available cuda: 2
training started: Jun09_20-44-31
epoch:00, train:0.953, valid:0.690, threshold: [0.70122699 1.67681109 2.05591667 2.62067965 3.66842012], score:0.625, best:0.625, date:Jun09_20-56-13
epoch:01, train:0.702, valid:0.574, threshold: [0.76230152 1.58427756 1.93998274 2.84609322 3.28435991], score:0.684, best:0.684, date:Jun09_21-07-45
epoch:02, train:0.664, valid:0.729, threshold: [0.83821485 1.39555695 1.6312443  1.7857807  4.14312417], score:0.714, best:0.714, date:Jun09_21-19-17
epoch:03, train:0.623, valid:0.453, threshold: [0.62699128 1.55134691 2.15544792 2.76472086 4.74388781], score:0.776, best:0.776, date:Jun09_21-30-46
epoch:04, train:0.613, valid:0.706, threshold: [0.63352566 1.64365173 2.14904235 2.54334935 4.99640669], score:0.736, best:0.776, date:Jun09_21-42-18
epoch:05, train:0.601, valid:1.402, threshold: [1.24758457 1.90851168 2.3880885  2.71910419 3.64313882], score:0.668, best:0.776, date:Jun09_21-53-44
epoch:06, train:0.620, valid:0.472, threshold: [0.58681073 1.5539371  2.35763985 3.23003366 3.66251503], score:0.747, best:0.776, date:Jun09_22-05-16
epoch:07, train:0.609, valid:0.411, threshold: [0.75472231 1.70845961 2.23239984 2.62289685 3.94838442], score:0.788, best:0.788, date:Jun09_22-16-46
epoch:08, train:0.608, valid:0.670, threshold: [0.78732679 1.39425302 1.66061641 2.26866809 2.81493027], score:0.768, best:0.788, date:Jun09_22-28-18
epoch:09, train:0.589, valid:0.892, threshold: [0.59597562 1.82780405 2.05235339 2.77609084 3.6525693 ], score:0.707, best:0.788, date:Jun09_22-39-47
epoch:10, train:0.551, valid:0.618, threshold: [0.69617625 1.5291806  2.10217305 2.9519432  3.79931278], score:0.781, best:0.788, date:Jun09_22-51-16
epoch:11, train:0.529, valid:0.668, threshold: [0.65728453 1.51026088 1.93013145 2.43439298 5.02381393], score:0.742, best:0.788, date:Jun09_23-02-46
epoch:12, train:0.543, valid:1.288, threshold: [0.80854424 1.46179655 1.86133583 2.09270756 4.18565698], score:0.728, best:0.788, date:Jun09_23-14-18
epoch:13, train:0.526, valid:1.429, threshold: [0.99790159 1.46403297 1.96605939 2.03474679 3.02744485], score:0.751, best:0.788, date:Jun09_23-25-46
epoch:14, train:0.532, valid:1.042, threshold: [0.63599188 1.78249993 2.23005408 2.62177551 3.50020148], score:0.754, best:0.788, date:Jun09_23-37-16
epoch:15, train:0.521, valid:1.134, threshold: [0.6020577  1.45457972 1.72492608 2.54324642 4.34996499], score:0.580, best:0.788, date:Jun09_23-48-46
epoch:16, train:0.519, valid:0.609, threshold: [0.82341029 1.35250773 2.02289792 2.52849084 3.30016416], score:0.722, best:0.788, date:Jun10_00-00-16
epoch:17, train:0.517, valid:0.510, threshold: [0.73378325 1.62120744 2.13975794 2.71400709 3.10956884], score:0.747, best:0.788, date:Jun10_00-11-46
